날짜,지점,평균기온,최저기온,최고기온
01-01-66,101,-10.1,-16.9,-1.4
01-02-66,101,-8.9,-15.4,-0.1
01-03-66,101,-5.3,-10.3,-0.2
01-04-66,101,-3.3,-7.7,1.2
01-05-66,101,-6.1,-12.7,1.9
01-06-66,101,-2.8,-7.1,3.9
01-07-66,101,-4.3,-12,2.1
01-08-66,101,-7.1,-14.3,-0.6
01-09-66,101,-4.6,-9.9,2.3
01-10-66,101,-3,-6.5,4.2
01-11-66,101,-5.5,-14,-0.6
01-12-66,101,-5.8,-12,0.3
01-13-66,101,-5.7,-13.7,2.1
01-14-66,101,-7.6,-15.9,-1.5
01-15-66,101,-1.7,-7.4,4.2
01-16-66,101,2.3,-2.4,7.8
01-17-66,101,-3.8,-8.2,2.5
01-18-66,101,-9.5,-14,-5.6
01-19-66,101,-11.5,-15.2,-1.4
01-20-66,101,-13.4,-19.4,-7.2
01-21-66,101,-12.1,-17.7,-5.1
01-22-66,101,-10.2,-16.8,-2
01-23-66,101,-10.9,-16.5,-4.3
01-24-66,101,-11.2,-17.7,-5.2
01-25-66,101,-4.3,-7.5,-0.3
01-26-66,101,-7.3,-12.9,-1.7
01-27-66,101,-10,-16.8,-4.6
01-28-66,101,-7.7,-12.8,-2.4
01-29-66,101,-1.8,-10,2.5
01-30-66,101,-6.9,-14.8,0.6
01-31-66,101,-2.8,-6.9,3.3
02-01-66,101,1.2,-4.1,8.8
02-02-66,101,2.7,-3.6,9.4
02-03-66,101,0.2,-7,8.4
02-04-66,101,-6.4,-9.8,-1.8
02-05-66,101,-7.7,-12.6,-3
02-06-66,101,-7.9,-14,-2.1
02-07-66,101,-7.8,-16.4,0.9
02-08-66,101,-3.4,-12.1,4.8
02-09-66,101,1,-7.4,9.8
02-10-66,101,4.6,1.4,10.6
02-11-66,101,-3.4,-8.7,1.4
02-12-66,101,-6.4,-11.6,-1.6
02-13-66,101,-0.7,-2.5,2.2
02-14-66,101,0.6,-2.9,6.8
02-15-66,101,2.5,-2.4,7.3
02-16-66,101,4.1,1.4,7.7
02-17-66,101,4.1,-0.1,9
02-18-66,101,2.2,-1.8,5.4
02-19-66,101,0.4,-4.2,6.3
02-20-66,101,2.7,0.7,7
02-21-66,101,2.3,-1.4,4.6
02-22-66,101,-2,-6.6,-0.6
02-23-66,101,-11.2,-17.4,-5.6
02-24-66,101,-8.9,-17.4,-0.6
02-25-66,101,-2.2,-7.2,1.5
02-26-66,101,0.8,-3.4,7.2
02-27-66,101,1.6,-3.3,9.2
02-28-66,101,1,-1.8,5.2
03-01-66,101,3.4,-0.9,7.6
03-02-66,101,6,3.7,8.8
03-03-66,101,7.1,5,10.5
03-04-66,101,5.4,2.9,7.7
03-05-66,101,3.8,-0.4,9
03-06-66,101,1.2,0.3,3.2
03-07-66,101,0.4,-2.6,3
03-08-66,101,-0.7,-5,4.5
03-09-66,101,0,-4.1,5
03-10-66,101,2.2,-1.7,7
03-11-66,101,2.4,-2.3,10.1
03-12-66,101,4.7,-1.9,12.4
03-13-66,101,8.9,1.1,12.6
03-14-66,101,4.2,-2.4,11.2
03-15-66,101,5,1.1,8.8
03-16-66,101,6.9,4,10.9
03-17-66,101,4.8,2,8.2
03-18-66,101,2.1,0.6,5
03-19-66,101,-0.7,-3.2,0.8
03-20-66,101,-0.9,-5.4,3.4
03-21-66,101,2.1,-4.2,9.4
03-22-66,101,5.2,0.6,8.8
03-23-66,101,3.5,-0.2,7.4
03-24-66,101,1.7,-1.1,5.7
03-25-66,101,0.8,-4.2,6.4
03-26-66,101,1.9,-4,8.2
03-27-66,101,4,-2.3,11.4
03-28-66,101,5.5,1.4,10.4
03-29-66,101,4.4,1,9.4
03-30-66,101,5.3,-0.6,11.5
03-31-66,101,5.6,0.9,11.3
04-01-66,101,7.3,0.9,14.5
04-02-66,101,8.2,0.3,16.8
04-03-66,101,10,4,17.7
04-04-66,101,7.5,2.5,13.8
04-05-66,101,6.3,-2.3,15.2
04-06-66,101,7.4,-1,15.3
04-07-66,101,9.3,3.5,16
04-08-66,101,10.5,5.3,17.6
04-09-66,101,7.3,2.4,15.4
04-10-66,101,9.7,1.4,15.3
04-11-66,101,8.8,5.3,13.8
04-12-66,101,9.4,0.4,17.5
04-13-66,101,12.3,5.6,20.8
04-14-66,101,13.4,3,24.7
04-15-66,101,9.3,5.6,14.4
04-16-66,101,5.3,3.8,7.8
04-17-66,101,7.4,4.4,11.7
04-18-66,101,10.3,4.1,16.7
04-19-66,101,10.5,5,16
04-20-66,101,12.8,4.2,20.4
04-21-66,101,14.2,7.9,20.9
04-22-66,101,18.1,9.2,26.9
04-23-66,101,18.4,13.8,26.4
04-24-66,101,19.4,12.1,26.4
04-25-66,101,19.4,12,25.8
04-26-66,101,15.7,14,17.8
04-27-66,101,17,11.4,22.4
04-28-66,101,17.3,15.5,19.8
04-29-66,101,14.8,9.3,18.1
04-30-66,101,11.9,4.8,19.5
05-01-66,101,13.4,4.3,21.1
05-02-66,101,11,8.6,13.6
05-03-66,101,11.2,6.6,16.2
05-04-66,101,12.3,3.2,21.7
05-05-66,101,15.6,6.7,24.6
05-06-66,101,17.8,8.4,27.7
05-07-66,101,14,11,17.2
05-08-66,101,15.8,9.7,20.8
05-09-66,101,17.9,9.1,25.9
05-10-66,101,17.7,10.4,22.2
05-11-66,101,15.8,7.8,25
05-12-66,101,17.4,8.6,26.9
05-13-66,101,18.8,10.4,28.7
05-14-66,101,16.7,12.3,22.6
05-15-66,101,17.7,12.2,23.4
05-16-66,101,15.5,8.9,24.6
05-17-66,101,17.6,9.4,26.8
05-18-66,101,17.8,8.4,28.3
05-19-66,101,19.8,11.9,29
05-20-66,101,19.2,16,22.8
05-21-66,101,19,14.4,22.7
05-22-66,101,18,11.7,23.3
05-23-66,101,18,12.4,23.4
05-24-66,101,16.9,6.3,28.3
05-25-66,101,18.8,7.2,30.9
05-26-66,101,20.1,7.1,30.4
05-27-66,101,18.7,14.5,23.4
05-28-66,101,16.4,11.4,21.4
05-29-66,101,21.2,15,27.7
05-30-66,101,20.3,11.4,27.9
05-31-66,101,21,16.1,27.4
06-01-66,101,20.7,14.4,27.8
06-02-66,101,20.1,13.5,26.7
06-03-66,101,18.6,12.4,24.7
06-04-66,101,16.3,12.7,20.6
06-05-66,101,11.9,10.3,14.8
06-06-66,101,14.6,9.4,20.7
06-07-66,101,18,11.2,25.3
06-08-66,101,20,16.5,24.6
06-09-66,101,19.2,15.6,24.6
06-10-66,101,17.2,14.7,22.5
06-11-66,101,17.1,13,21.2
06-12-66,101,18.1,9.6,26.6
06-13-66,101,21.2,14.2,28.2
06-14-66,101,20.8,15.2,27.3
06-15-66,101,20.1,12.1,28.8
06-16-66,101,22.9,14.2,31.4
06-17-66,101,24.1,17.4,31.2
06-18-66,101,23.3,17.1,29.2
06-19-66,101,18.7,16.6,20.9
06-20-66,101,21.2,15.6,28.2
06-21-66,101,24.4,19.9,30.4
06-22-66,101,25.4,19.8,31.8
06-23-66,101,25,20.5,30.1
06-24-66,101,25.4,21.6,29.5
06-25-66,101,22.4,19.4,24.7
06-26-66,101,20.3,17.8,25
06-27-66,101,19.7,17,23.1
06-28-66,101,20.9,16.6,25.1
06-29-66,101,21.2,14.9,27.7
06-30-66,101,20,17.8,23.2
07-01-66,101,17.7,16.4,19.8
07-02-66,101,18.7,15,23.1
07-03-66,101,19.8,11.7,27.1
07-04-66,101,21.3,17,27.7
07-05-66,101,22.2,18.2,27.8
07-06-66,101,22.6,19.9,25.3
07-07-66,101,20.3,19.1,22.1
07-08-66,101,22.6,18.6,27.7
07-09-66,101,23.7,18.6,28.8
07-10-66,101,24.2,21.4,27.8
07-11-66,101,22.4,19.6,26.6
07-12-66,101,22.9,18.9,27.4
07-13-66,101,24.9,20.4,30.5
07-14-66,101,23.9,21.9,26.2
07-15-66,101,23.4,21.6,25.1
07-16-66,101,24.6,22.3,26.3
07-17-66,101,24.6,23.2,26.3
07-18-66,101,24.2,22.9,26.6
07-19-66,101,23.8,22.8,25.9
07-20-66,101,25.5,24.5,26.9
07-21-66,101,21.9,18.7,25.8
07-22-66,101,22,18.6,27.3
07-23-66,101,22.3,20.4,25.4
07-24-66,101,22.7,20.1,25.8
07-25-66,101,23.4,21.7,25.7
07-26-66,101,25.2,22.6,28.2
07-27-66,101,26.4,21.5,31.7
07-28-66,101,26.1,24,29.4
07-29-66,101,25.7,22.6,31
07-30-66,101,26.3,24.6,29.2
07-31-66,101,25.9,23.6,28.2
08-01-66,101,26.1,24,29.7
08-02-66,101,26.4,24.2,29.1
08-03-66,101,26.7,23,31.3
08-04-66,101,27.1,21.7,32.5
08-05-66,101,27.9,24.8,31.8
08-06-66,101,27,23.6,32.6
08-07-66,101,26.1,24.3,29.1
08-08-66,101,28.2,24.8,34
08-09-66,101,26.3,22.9,32.2
08-10-66,101,25.8,21.5,32.5
08-11-66,101,25.2,23.8,27.8
08-12-66,101,26.3,23,31.5
08-13-66,101,26.5,22.7,32.4
08-14-66,101,26.4,21.4,31.6
08-15-66,101,27.2,21.8,33.5
08-16-66,101,27.3,23.5,33.2
08-17-66,101,24.8,22.6,26.6
08-18-66,101,23.5,18.9,28.7
08-19-66,101,20.8,18.4,24.2
08-20-66,101,19.1,17.7,20.5
08-21-66,101,23,18.4,28.3
08-22-66,101,24.9,19.8,29.1
08-23-66,101,25.2,22.5,27.6
08-24-66,101,27.3,24.2,31.2
08-25-66,101,27.2,25.4,30.2
08-26-66,101,27.1,24,32.3
08-27-66,101,26.9,23.2,33.2
08-28-66,101,26.3,22.8,32.2
08-29-66,101,26.6,22.2,32.8
08-30-66,101,26.2,22,32.6
08-31-66,101,27.3,23.4,33.6
09-01-66,101,20.8,16.3,26.3
09-02-66,101,16.6,15.2,18
09-03-66,101,19.7,17.2,22.2
09-04-66,101,20.6,17.7,23
09-05-66,101,18.5,17.2,20.7
09-06-66,101,19.1,16.8,21.6
09-07-66,101,20,19.2,21
09-08-66,101,22,18.9,27
09-09-66,101,21.7,17.8,25.3
09-10-66,101,20.2,17.3,24.1
09-11-66,101,18.7,16.4,21.1
09-12-66,101,19.2,15.8,26.2
09-13-66,101,17.9,14,24.3
09-14-66,101,14.9,9.4,22.5
09-15-66,101,13.4,7.7,22.7
09-16-66,101,15,9.1,24.9
09-17-66,101,17.5,11.8,24.6
09-18-66,101,17.2,12,23.2
09-19-66,101,16.9,9.6,24.9
09-20-66,101,17.1,11.8,24.4
09-21-66,101,18.7,15.7,24
09-22-66,101,16.4,11.8,21.5
09-23-66,101,16.6,10.4,23.6
09-24-66,101,15.6,11.8,20.7
09-25-66,101,14.6,11.1,18.7
09-26-66,101,13.7,8,20.6
09-27-66,101,14.2,8,23.6
09-28-66,101,14.8,10,23.8
09-29-66,101,14.8,10.2,24.2
09-30-66,101,14.3,7.7,25
10-01-66,101,15.4,9.7,23.6
10-02-66,101,16,9.3,25.4
10-03-66,101,14.3,10.7,22
10-04-66,101,13.9,8.8,17.9
10-05-66,101,12.6,6.7,19.4
10-06-66,101,12.4,4.8,19.4
10-07-66,101,12.8,7.6,20.3
10-08-66,101,14.5,8.1,22.8
10-09-66,101,16.5,12.9,20.8
10-10-66,101,18.4,14.2,24.6
10-11-66,101,17.5,15.2,21.7
10-12-66,101,17.3,14.6,21.1
10-13-66,101,17.3,13.4,22.9
10-14-66,101,15.5,11.7,20.9
10-15-66,101,14.2,8.6,18.1
10-16-66,101,10.5,8.6,12.7
10-17-66,101,11.3,5.8,15.3
10-18-66,101,12.6,6.7,16.7
10-19-66,101,11.6,4.9,18.4
10-20-66,101,6.3,1.7,13.5
10-21-66,101,6.9,-0.5,16.7
10-22-66,101,7.3,2.8,16.5
10-23-66,101,8.7,2,18.7
10-24-66,101,10.6,3.8,19.2
10-25-66,101,10.2,6.6,12.4
10-26-66,101,14.3,10.8,19
10-27-66,101,13.2,6.4,18.7
10-28-66,101,3.2,0.1,9
10-29-66,101,7,-1.5,15
10-30-66,101,14,5.3,18.4
10-31-66,101,10.7,5.1,17.9
11-01-66,101,10.9,5.8,18
11-02-66,101,7.3,0.5,16.8
11-03-66,101,5.8,-1.1,15.4
11-04-66,101,7.8,1.6,17.9
11-05-66,101,8.4,1.9,18
11-06-66,101,9.2,5.2,14.3
11-07-66,101,7.8,0.6,14.3
11-08-66,101,6.2,0.4,15.2
11-09-66,101,7.2,2.3,14.3
11-10-66,101,8.4,2,16.2
11-11-66,101,5.5,-1.9,13.3
11-12-66,101,8.7,3.3,17.4
11-13-66,101,9.2,7.6,10.7
11-14-66,101,4.7,-0.2,10.3
11-15-66,101,0.1,-4.9,6.6
11-16-66,101,0.9,-2.1,5.5
11-17-66,101,6,0.8,12.5
11-18-66,101,2.9,-3,9.8
11-19-66,101,5.1,-0.3,9.9
11-20-66,101,-2.2,-5.9,-0.3
11-21-66,101,-7.5,-12.9,-2.8
11-22-66,101,-8,-14.4,-1.2
11-23-66,101,-1,-7.3,2.4
11-24-66,101,3.4,1,7.8
11-25-66,101,2.7,-5,10.3
11-26-66,101,-2.4,-7.9,2.8
11-27-66,101,0.5,-2.2,2.9
11-28-66,101,3.1,0.5,5.8
11-29-66,101,4.6,1.3,9.3
11-30-66,101,-4.1,-10.2,2.4
12-01-66,101,-8.5,-12.7,-4.6
12-02-66,101,-5.9,-10.4,-0.5
12-03-66,101,-3.2,-8.8,2.6
12-04-66,101,2.3,0.1,5.5
12-05-66,101,2.1,-4.1,5.7
12-06-66,101,-3.6,-8.9,1.6
12-07-66,101,-2.9,-8.5,3.5
12-08-66,101,1,-3.4,6.7
12-09-66,101,-4.1,-8.5,0.5
12-10-66,101,-4.4,-8.1,-1.6
12-11-66,101,-3.2,-8.7,1.9
12-12-66,101,-1,-6.4,3.4
12-13-66,101,-8,-12.5,-3.7
12-14-66,101,-9.2,-14,-2.5
12-15-66,101,-6,-12.1,-1.5
12-16-66,101,-0.6,-4.5,5.7
12-17-66,101,-3.2,-7.7,3.6
12-18-66,101,-1.1,-7.8,5.7
12-19-66,101,3.2,-0.6,9
12-20-66,101,1,-2.6,4.5
12-21-66,101,-0.3,-2.7,3.1
12-22-66,101,-3.2,-7,1.6
12-23-66,101,-4.3,-9.5,1.5
12-24-66,101,-4.5,-8.8,-0.7
12-25-66,101,-9.5,-13.3,-5.8
12-26-66,101,-12.7,-16.7,-7.1
12-27-66,101,-11.5,-16.9,-4.9
12-28-66,101,-10.3,-15.8,-3.2
12-29-66,101,-9.4,-15.2,-1.5
12-30-66,101,-5.5,-10.3,-1.8
12-31-66,101,-2.6,-5,0.2
01-01-67,101,-1.8,-12.6,1.8
01-02-67,101,-12.5,-20.6,-5.3
01-03-67,101,-14.6,-23.4,-7.1
01-04-67,101,-13.4,-21.9,-4.9
01-05-67,101,-11.3,-20.6,0.1
01-06-67,101,-3.1,-8.2,1.4
01-07-67,101,-2.8,-13,0.6
01-08-67,101,-13.3,-19.3,-5.3
01-09-67,101,-14.5,-21,-6.1
01-10-67,101,-13.6,-21.5,-6.6
01-11-67,101,-8.4,-15.6,-2.2
01-12-67,101,-7.6,-15.6,-1.5
01-13-67,101,-5.5,-12.8,0.2
01-14-67,101,-13.7,-19.3,-7.7
01-15-67,101,-17.5,-23.3,-12.1
01-16-67,101,-17.3,-25,-10.5
01-17-67,101,-14.2,-20.9,-5.5
01-18-67,101,-10.6,-19.2,-2
01-19-67,101,-1.4,-7.3,5.4
01-20-67,101,-3.7,-10.3,4.9
01-21-67,101,-4,-13.4,4.9
01-22-67,101,-1.3,-6.1,5.5
01-23-67,101,-3.6,-11.2,3.8
01-24-67,101,-0.8,-6.4,7.4
01-25-67,101,-1.9,-7.3,6.3
01-26-67,101,-2.1,-7.9,6.1
01-27-67,101,0.8,-5.1,8.4
01-28-67,101,1.1,-0.4,2.6
01-29-67,101,1,-1.7,2.2
01-30-67,101,-5.7,-11,-1.2
01-31-67,101,-10.3,-15.8,-3.2
02-01-67,101,-10.6,-16.9,-2.5
02-02-67,101,-10.5,-17.2,-1.9
02-03-67,101,-7.5,-14,-0.2
02-04-67,101,-8.4,-15.2,1.5
02-05-67,101,-3.6,-8.2,0.6
02-06-67,101,-1.8,-7.2,1.9
02-07-67,101,-0.4,-3.5,2.1
02-08-67,101,-1.1,-4.9,2.4
02-09-67,101,-1.3,-6.9,3.8
02-10-67,101,-5.7,-11.1,-0.8
02-11-67,101,-9.2,-14.8,-2.5
02-12-67,101,-11.8,-18.6,-4.6
02-13-67,101,-10.8,-18.4,-3.4
02-14-67,101,-10.3,-17.4,-2.9
02-15-67,101,-10.2,-17.1,-3.7
02-16-67,101,-6.7,-16,1.6
02-17-67,101,-7.6,-15.6,-1.6
02-18-67,101,-8.1,-16.6,1.4
02-19-67,101,-6.1,,
02-20-67,101,-1,-7.6,5.5
02-21-67,101,2.8,1.3,5.5
02-22-67,101,4.8,1,10.7
02-23-67,101,2.6,-1.3,6
02-24-67,101,0.6,-2.7,5.1
02-25-67,101,0.5,-3.2,5.2
02-26-67,101,-0.9,-4.8,3.5
02-27-67,101,-1.4,-4.9,3
02-28-67,101,-1.2,-6.6,4
03-01-67,101,1.8,-4.2,8.8
03-02-67,101,5.3,0.4,12.7
03-03-67,101,1.6,-1.5,4.6
03-04-67,101,3.8,-0.7,7
03-05-67,101,-1.1,-3.9,1.9
03-06-67,101,-2.2,-6.6,2.2
03-07-67,101,-1.3,-5.7,3.5
03-08-67,101,-0.4,-6,5.3
03-09-67,101,2.1,-2.6,8.9
03-10-67,101,3,0,8.6
03-11-67,101,3.5,-2.8,9.8
03-12-67,101,5.4,1.3,10.8
03-13-67,101,4.5,-1.9,13.8
03-14-67,101,6.5,-1.1,15.4
03-15-67,101,10.1,4.3,15.7
03-16-67,101,6.5,0,14.9
03-17-67,101,4.7,-0.9,10.6
03-18-67,101,7.9,0.5,15.2
03-19-67,101,6.2,-1.6,14.4
03-20-67,101,6.3,-2.1,15
03-21-67,101,7.4,4.3,10.2
03-22-67,101,3.4,-0.7,7
03-23-67,101,1.2,-4.6,5.5
03-24-67,101,2.2,-4.8,9.3
03-25-67,101,5,-1.6,13.5
03-26-67,101,4.1,-1.9,9.1
03-27-67,101,8.2,6,11.8
03-28-67,101,6.8,0.3,13.7
03-29-67,101,7.2,-1.1,17.2
03-30-67,101,7.4,5.9,9.9
03-31-67,101,8.2,6.5,10.8
04-01-67,101,10.7,7.5,15.7
04-02-67,101,12.5,5.8,20.8
04-03-67,101,10.7,4.9,18.4
04-04-67,101,5.2,1.7,8.4
04-05-67,101,6.8,-1.4,14.1
04-06-67,101,10.4,2.7,16.3
04-07-67,101,10.7,1.5,18.3
04-08-67,101,8.4,7.2,10.1
04-09-67,101,11.8,7.1,19.3
04-10-67,101,11,5.1,9.6
04-11-67,101,8.6,4.4,12
04-12-67,101,8.6,2.4,16.3
04-13-67,101,11,3.1,19.4
04-14-67,101,11,4,18.5
04-15-67,101,9.8,6.2,13
04-16-67,101,9.1,3.9,15
04-17-67,101,8.4,-0.3,17
04-18-67,101,12.1,2.5,20.1
04-19-67,101,8.8,6.3,12.9
04-20-67,101,10,6.2,16.3
04-21-67,101,12.8,7.8,20.6
04-22-67,101,13.1,4.4,21.9
04-23-67,101,14.5,8.7,22.7
04-24-67,101,15.1,5.4,23.7
04-25-67,101,15.5,6.1,25.4
04-26-67,101,14.7,5.9,24.4
04-27-67,101,13.8,10.8,19.8
04-28-67,101,17.3,12,24.3
04-29-67,101,17.7,9.7,26.2
04-30-67,101,17.3,15.3,20.9
05-01-67,101,18.3,12.3,24.6
05-02-67,101,17,8.5,25.9
05-03-67,101,15.8,8.7,22.4
05-04-67,101,14.8,5.8,24.1
05-05-67,101,16.7,7.3,25.8
05-06-67,101,18.2,9.6,27.4
05-07-67,101,19.4,10.7,27.8
05-08-67,101,18.6,13,24.7
05-09-67,101,16.2,13.3,21.7
05-10-67,101,16.6,10.4,24.8
05-11-67,101,18.6,10.2,26.9
05-12-67,101,20.3,11.7,29.7
05-13-67,101,20.7,12,30.4
05-14-67,101,19,13.2,25.6
05-15-67,101,17.9,8.6,26.8
05-16-67,101,18.4,11.4,25.7
05-17-67,101,18.8,8.3,28.3
05-18-67,101,20.7,13.4,28.7
05-19-67,101,19.7,12.4,27.2
05-20-67,101,19.9,11.7,29.1
05-21-67,101,20.1,12.3,29.2
05-22-67,101,20,11.7,28.9
05-23-67,101,21,17.6,25.4
05-24-67,101,21.7,15.7,28.9
05-25-67,101,19.9,17.7,22.7
05-26-67,101,20.3,16.4,25.1
05-27-67,101,20,12.4,27.2
05-28-67,101,21.9,15.1,28.6
05-29-67,101,22,14.4,30.7
05-30-67,101,22.6,17.1,28.7
05-31-67,101,19.9,14.4,26.8
06-01-67,101,20.4,15,26.1
06-02-67,101,20.2,13,27.7
06-03-67,101,18.1,13.8,22.6
06-04-67,101,18.5,13.2,25.1
06-05-67,101,21.5,15.1,27.7
06-06-67,101,21.7,16.7,27.2
06-07-67,101,19.4,13,26.5
06-08-67,101,17.8,13.6,23
06-09-67,101,15.4,14.2,16.9
06-10-67,101,18.3,14.4,24.2
06-11-67,101,20.5,15.8,26.2
06-12-67,101,21.4,17.6,26.3
06-13-67,101,20.8,13.9,27.7
06-14-67,101,22,15.2,29.7
06-15-67,101,23.7,16.5,31.1
06-16-67,101,24,19.2,30.5
06-17-67,101,20.2,16.3,24.8
06-18-67,101,23.3,18.6,29.7
06-19-67,101,21.5,17.9,26.1
06-20-67,101,20.3,16.8,26.2
06-21-67,101,21.9,17.4,28.1
06-22-67,101,23,17.3,29.7
06-23-67,101,24,18.5,30.4
06-24-67,101,22.9,17.2,28.9
06-25-67,101,23,19.1,27.9
06-26-67,101,22.8,16.8,29.7
06-27-67,101,23.6,20.4,28
06-28-67,101,21.3,18.7,24.6
06-29-67,101,22.1,15.5,28
06-30-67,101,22.9,19.7,27.8
07-01-67,101,21.7,18.3,24.3
07-02-67,101,20,17.9,22.3
07-03-67,101,21.6,18.8,26.1
07-04-67,101,19.5,16.6,23.5
07-05-67,101,20.3,14.2,26.8
07-06-67,101,20.5,17.1,25.5
07-07-67,101,22.2,16.5,28.3
07-08-67,101,24.6,19.3,30.9
07-09-67,101,24.7,19.1,32.7
07-10-67,101,25,19.7,31.5
07-11-67,101,25.2,21.2,29.9
07-12-67,101,22.5,20.8,24.4
07-13-67,101,24.9,21.5,28
07-14-67,101,27,24,31
07-15-67,101,26.4,21.7,30.4
07-16-67,101,27.1,22,32.9
07-17-67,101,26.7,20.9,33.3
07-18-67,101,27.6,22.3,34.2
07-19-67,101,24.8,23,28
07-20-67,101,22.1,19.3,25.1
07-21-67,101,25.4,21.7,31.9
07-22-67,101,25.3,23.2,30
07-23-67,101,25.9,23.3,29.1
07-24-67,101,26.9,22,34.4
07-25-67,101,27.7,22.9,33.8
07-26-67,101,27.5,21.5,34.2
07-27-67,101,28.4,24.5,33.1
07-28-67,101,28.4,24.4,33.4
07-29-67,101,28,23.8,32.9
07-30-67,101,28.5,25.3,32.7
07-31-67,101,27.7,23.7,32.7
08-01-67,101,27.3,23.4,32
08-02-67,101,27.3,24.1,30.8
08-03-67,101,26.5,25,28.6
08-04-67,101,28.1,23.7,32.8
08-05-67,101,27,23.2,32.1
08-06-67,101,25.9,24.8,27.7
08-07-67,101,28,24.4,32.6
08-08-67,101,29,25.7,33.3
08-09-67,101,28.7,25.1,34.1
08-10-67,101,26.6,24.1,30.7
08-11-67,101,27.4,24.3,30.8
08-12-67,101,25.5,24.5,27
08-13-67,101,26.3,23.6,30.8
08-14-67,101,26.3,22.1,31.7
08-15-67,101,25.8,22.9,27
08-16-67,101,24.4,22.3,25.8
08-17-67,101,25.3,21.7,31.5
08-18-67,101,25.1,21.7,29.2
08-19-67,101,24.7,20.8,28.7
08-20-67,101,24.2,20.7,30
08-21-67,101,25.5,19.8,31.8
08-22-67,101,27.2,23,32.2
08-23-67,101,25.1,23,27.1
08-24-67,101,26.6,22.9,31.6
08-25-67,101,26.2,22.9,31.7
08-26-67,101,26.5,23.3,29.8
08-27-67,101,27.7,25.3,30.7
08-28-67,101,25.6,24.4,27.1
08-29-67,101,24.3,22,26.9
08-30-67,101,23.7,20.5,27.1
08-31-67,101,25.1,21.8,30.3
09-01-67,101,23.4,18.2,30.7
09-02-67,101,23.8,20.9,26.7
09-03-67,101,22.4,18,24.2
09-04-67,101,20,17.8,22.3
09-05-67,101,21.7,18.9,25.1
09-06-67,101,23.9,21.8,27.2
09-07-67,101,24.7,21.1,29.5
09-08-67,101,21.9,18.7,25.3
09-09-67,101,22.2,17.5,29.1
09-10-67,101,20.4,16,25
09-11-67,101,17.6,12.8,21.4
09-12-67,101,15.7,10.6,22.5
09-13-67,101,15.1,8.2,24.1
09-14-67,101,16.3,8.2,23.9
09-15-67,101,17.9,12.2,23.6
09-16-67,101,16.4,10.2,23.4
09-17-67,101,15.3,8.8,24
09-18-67,101,16,10.3,24.2
09-19-67,101,15.6,10.4,23.6
09-20-67,101,17.8,11.8,26.1
09-21-67,101,19.5,15.7,25.3
09-22-67,101,17.2,12,23.2
09-23-67,101,14.7,11.2,20.1
09-24-67,101,14.6,9,21.2
09-25-67,101,14.9,9.2,24.4
09-26-67,101,16.4,10.7,25.9
09-27-67,101,17.2,10.8,27.2
09-28-67,101,17.1,12,25.1
09-29-67,101,16.9,10.6,24.9
09-30-67,101,18.2,14.7,24.2
10-01-67,101,12.6,6.9,16.6
10-02-67,101,12.1,4.4,20.2
10-03-67,101,11.7,5.7,21.6
10-04-67,101,12.2,6,22.6
10-05-67,101,12.1,6.1,22.1
10-06-67,101,12.5,5.9,21.7
10-07-67,101,13.4,6.9,22.1
10-08-67,101,12.5,5.8,22.4
10-09-67,101,12.5,5.6,22.6
10-10-67,101,12.4,6.7,22.2
10-11-67,101,12.3,6.2,21.6
10-12-67,101,13,11.2,14.9
10-13-67,101,16.6,13,22.7
10-14-67,101,11.6,6.1,15.7
10-15-67,101,9.6,2.3,17
10-16-67,101,9.6,3.2,16.3
10-17-67,101,9.9,3.2,19.2
10-18-67,101,9.7,1.3,20.7
10-19-67,101,11.3,4.5,21.8
10-20-67,101,10.6,3.5,18.3
10-21-67,101,14.4,8.8,19.8
10-22-67,101,12.2,3.6,20.7
10-23-67,101,10.6,2.9,21.7
10-24-67,101,12.3,4,21.9
10-25-67,101,13.1,6.4,21.4
10-26-67,101,13.7,7.8,20.4
10-27-67,101,11.7,4.8,19
10-28-67,101,13.4,6.4,20.4
10-29-67,101,11,5,16.4
10-30-67,101,16.4,9.4,21.1
10-31-67,101,7.8,1.7,13.4
11-01-67,101,7.7,4.2,10.8
11-02-67,101,7.2,2.3,16
11-03-67,101,6.7,-0.1,14.4
11-04-67,101,7.6,1.2,15.8
11-05-67,101,10.9,7.4,15.4
11-06-67,101,8.1,2.4,16.6
11-07-67,101,9.1,3.1,19.4
11-08-67,101,8.7,3.1,13.6
11-09-67,101,3.7,1.2,7.4
11-10-67,101,3.4,-2.3,11.5
11-11-67,101,3.5,-1.9,8.8
11-12-67,101,2.3,-2.8,6.1
11-13-67,101,-0.5,-7.4,7.7
11-14-67,101,3.3,1.7,4.8
11-15-67,101,1.9,-5,6
11-16-67,101,-0.9,-7.4,8.4
11-17-67,101,2.4,-4.2,12.3
11-18-67,101,3.7,-2.6,10.4
11-19-67,101,7.4,2.7,11.3
11-20-67,101,6.1,-0.2,9.4
11-21-67,101,1.4,-2.4,7.6
11-22-67,101,-0.3,-5.2,6
11-23-67,101,1.9,-2.4,7.3
11-24-67,101,3.9,-2.9,11.1
11-25-67,101,6.1,3.3,9.6
11-26-67,101,6,1.3,13.3
11-27-67,101,4,-0.1,6.6
11-28-67,101,8.4,5.9,11.2
11-29-67,101,8.1,4.3,10.2
11-30-67,101,0.9,-4,5.4
